관리번호,기준연도,읍면동,읍면동코드,리,지목,경작연도,경작면적,실제면적
2316,2022,제원면,45500330000,금성리,임,2020,26,221527.44
2572,2022,제원면,45500330000,용화리,답,2019,1784,3048.24
2828,2022,남이면,45500370000,성곡리,전,2020,238,666.39
3084,2022,금성면,45500320000,상가리,답,2022,1268,1268.26
3340,2022,금성면,45500320000,하류리,전,2022,45,104.29
3596,2022,금산읍,45500310000,양지리,구,2022,154,15292.64
3852,2022,금산읍,45500310000,상옥리,전,2022,488,488.8
4108,2022,군북면,45500350000,내부리,답,2022,1223,1223.48
4364,2022,금산읍,45500310000,음지리,답,2020,1198,1198.55
4620,2022,추부면,45500400000,추정리,답,2018,292,292.82
4876,2022,금성면,45500320000,의총리,답,2018,926,926.46
5132,2022,군북면,45500350000,조정리,답,2016,1625,2004.25
5388,2022,남일면,45500360000,덕천리,답,2018,3671,3671.03
5644,2022,금성면,45500320000,화림리,답,2017,1904,1904.62
5900,2022,군북면,45500350000,천을리,답,2018,313,313.02
6156,2022,제원면,45500330000,금성리,답,2020,2315,2315.53
6412,2022,제원면,45500330000,수당리,답,2018,2095,2318.01
6668,2022,금산읍,45500310000,하옥리,답,2020,949,1381.6
6924,2022,부리면,45500340000,창평리,답,2020,1956,1956.2
7180,2022,제원면,45500330000,명곡리,과,2020,1074,1074.07
7436,2022,군북면,45500350000,호티리,답,2020,2168,2168.3
7692,2022,부리면,45500340000,현내리,천,2019,323,367.5
7948,2022,군북면,45500350000,외부리,답,2020,1243,1243.89
8204,2022,남이면,45500370000,상금리,답,2018,2197,2535.28
8460,2022,남이면,45500370000,매곡리,답,2020,1170,1350.03
8716,2022,군북면,45500350000,두두리,전,2018,1855,1855.0
8972,2022,남일면,45500360000,신정리,천,2020,841,841.58
9228,2022,금성면,45500320000,화림리,임,2020,5316,11399.78
9484,2022,금산읍,45500310000,음지리,전,2020,57,465.44
9740,2022,남이면,45500370000,구석리,구,2020,139,1026.25
13,2022,추부면,45500400000,서대리,답,2022,2154,2154.69
269,2022,진산면,45500380000,석막리,구,2022,294,42398.28
525,2022,제원면,45500330000,명암리,답,2022,802,802.44
781,2022,제원면,45500330000,저곡리,답,2022,861,861.38
1037,2022,부리면,45500340000,선원리,답,2022,1315,1315.27
1293,2022,부리면,45500340000,양곡리,천,2022,299,58710.66
1549,2022,부리면,45500340000,예미리,답,2022,2212,2212.15
1805,2022,남일면,45500360000,황풍리,답,2022,1789,1789.87
2061,2022,부리면,45500340000,창평리,전,2020,899,1048.81
2317,2022,제원면,45500330000,금성리,전,2020,41,2986.18
2573,2022,제원면,45500330000,용화리,전,2021,1142,1143.0
2829,2022,남이면,45500370000,성곡리,임,2020,79,2229.31
3085,2022,부리면,45500340000,불이리,전,2020,1428,1428.88
3341,2022,금성면,45500320000,하류리,대,2022,86,782.0
3597,2022,금산읍,45500310000,양지리,답,2022,2642,3085.74
3853,2022,남일면,45500360000,덕천리,답,2016,2349,2349.92
4109,2022,군북면,45500350000,호티리,답,2022,1803,1886.53
4365,2022,금산읍,45500310000,음지리,답,2020,397,397.11
4621,2022,추부면,45500400000,마전리,전,2018,862,862.27
4877,2022,금성면,45500320000,의총리,답,2018,1918,1918.84
5133,2022,군북면,45500350000,상곡리,전,2018,3016,3859.53
5389,2022,남일면,45500360000,신정리,전,2018,1887,1887.99
5645,2022,군북면,45500350000,호티리,답,2018,1829,1829.08
5901,2022,군북면,45500350000,천을리,답,2018,2690,2690.73
6157,2022,제원면,45500330000,금성리,답,2020,1283,1283.31
6413,2022,제원면,45500330000,수당리,답,2019,1103,1103.43
6669,2022,제원면,45500330000,수당리,답,2020,3933,4369.78
6925,2022,부리면,45500340000,창평리,답,2020,237,237.72
7181,2022,제원면,45500330000,제원리,답,2020,1214,1214.01
7437,2022,군북면,45500350000,호티리,전,2020,1453,1453.91
7693,2022,부리면,45500340000,현내리,전,2019,2033,2192.3
7949,2022,남이면,45500370000,하금리,답,2020,1601,2235.42
